setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_foreground,compound_proxy,000031_jung_032_v01,docres_input_blend_0.70,30.676644413623514,0.994358241558075,0.44635384371182585
structure_foreground,compound_proxy,000037_jung_038_v00,docres_input_blend_0.80,18.85890248452347,0.5322329998016357,0.9668314829834606
structure_foreground,compound_proxy,000037_jung_038_v01,docres_classical040_blend_0.95,22.55957686117886,0.7125717401504517,0.9329844567801586
structure_foreground,compound_proxy,000038_jung_039_v00,docres_binarization,13.252111616471534,0.4991285800933838,0.9476951322429982
structure_foreground,compound_proxy,000038_jung_039_v01,docres_input_blend_0.95,22.26212289409019,0.70958411693573,0.3781625649219209
structure_foreground,compound_proxy,000043_jung_044_v00,docres_classical040_blend_0.80,20.19171801398159,0.509560227394104,0.5263593130638592
structure_foreground,compound_proxy,000043_jung_044_v01,docres_input_blend_0.70,20.262526527914044,0.6922286152839661,0.8511968038806211
structure_foreground,compound_proxy,000046_jung_047_v00,classical_shadow_0.40,18.59560916153212,0.5597224235534668,0.09495432770135354
structure_foreground,compound_proxy,000046_jung_047_v01,docres_input_blend_0.85,20.914363436733694,0.5993505716323853,0.43802035098558223
structure_foreground,compound_proxy,000050_jung_051_v00,docres_input_blend_0.80,22.373383297955574,0.9042742848396301,0.7682787676711349
structure_foreground,compound_proxy,000050_jung_051_v01,docres_classical040_blend_0.70,19.577453586184493,0.7033208012580872,0.7461014312853554
structure_foreground,compound_proxy,000051_jung_052_v00,classical_shadow_0.40,18.447216706825113,0.5622367858886719,0.09321256408151847
structure_foreground,compound_proxy,000051_jung_052_v01,docres_classical040_blend_0.95,14.051581855673373,0.5252028107643127,0.39804804302863717
structure_foreground,compound_proxy,000057_jung_058_v00,docres_classical040_blend_0.70,18.907606048304128,0.5994526147842407,0.14858881209762084
structure_foreground,compound_proxy,000057_jung_058_v01,docres_classical040_blend_0.95,17.725537549314833,0.7293848395347595,0.9417151010823184
structure_foreground,dibco18,dibco18_001,docres_binarization,24.626949580766507,0.9783604145050049,0.46400856873826
structure_foreground,dibco18,dibco18_007,docres_classical040_blend_0.95,14.190705113525826,0.7646551728248596,0.10948225285190669
structure_foreground,dibco18,dibco18_008,docres_binarization,19.496589516540503,0.9460956454277039,0.3411684618880768
structure_foreground,dibco19,dibco19_a_008,binary_docres_blend_0.90,20.04625135336162,0.9343979358673096,0.5138866653072094
structure_foreground,jung,jung_003,docres_classical040_blend_0.95,24.39860262736977,0.9437568783760071,0.4264131051147131
structure_foreground,jung,jung_020,docres_deshadow,22.691605108532066,0.9341093301773071,0.17944715550558782
structure_foreground,jung,jung_029,docres_input_blend_0.95,24.645469281739896,0.9088647365570068,0.2309041072814696
structure_foreground,jung,jung_046,docres_classical040_blend_0.80,23.55929863874641,0.9420727491378784,0.20081389669206612
structure_foreground,jung,jung_048,docres_input_blend_0.70,23.040040614866175,0.9493050575256348,0.2939972126265453
structure_foreground,jung,jung_052,docres_classical040_blend_0.70,24.357165871484035,0.9454631805419922,0.3766863688915646
structure_foreground,jung,jung_053,docres_classical040_blend_0.70,23.834148082908936,0.9467381834983826,0.3908411243544298
structure_foreground,jung,jung_058,docres_classical040_blend_0.85,23.284402484313755,0.9407913088798523,0.2536592807570756
structure_foreground,jung,jung_061,docres_classical040_blend_0.80,23.466196232616788,0.9320807456970215,0.30798289356899394
structure_foreground,jung,jung_063,classical_shadow_0.70,18.09766990167966,0.882344663143158,0.30924348465939244
structure_foreground,jung,jung_067,docres_classical040_blend_0.85,23.466999966368114,0.8950761556625366,0.39717158776364925
structure_foreground,jung,jung_069,docres_classical040_blend_0.95,23.570743779022223,0.879854679107666,0.3669646448144293
