sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_00845,docres_deshadow,docres_deshadow,1935,1851,1888,96,0.7525972945380989,0.2082687338501292,0.1048728813559322,0.0172298961862317,37,-5
mixeddoc_00845,no_qwen_selected,region_controller,1935,1851,1891,97,0.7507698485298819,0.2165374677002584,0.0988894764674775,0.0154024501780147,40,-4
mixeddoc_00845,qwen_selected,docres_deshadow,1935,1851,1888,96,0.7525972945380989,0.2082687338501292,0.1048728813559322,0.0172298961862317,37,-5
mixeddoc_00125,input,input,314,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00125,classical_shadow_0.40,classical_shadow_0.40,314,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00125,docres_deshadow,docres_deshadow,314,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00125,no_qwen_selected,docres_input_blend_0.90,314,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00125,qwen_selected,docres_deshadow,314,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00583,input,input,2939,59,59,13,0.6360220638032144,0.9863899285471248,0.0,0.0,0,0
mixeddoc_00583,classical_shadow_0.40,classical_shadow_0.40,2939,59,49,10,0.6650801158215834,0.9894521946240218,0.3728813559322034,0.029058052018369,-10,-3
mixeddoc_00583,docres_deshadow,docres_deshadow,2939,59,80,17,0.6825116324922841,0.9795848928206872,0.4875,0.0464895686890697,21,4
mixeddoc_00583,no_qwen_selected,docres_deshadow,2939,59,80,17,0.6825116324922841,0.9795848928206872,0.4875,0.0464895686890697,21,4
mixeddoc_00583,qwen_selected,docres_input_blend_0.90,2939,59,61,14,0.6895139065448805,0.9850289214018374,0.4262295081967213,0.0534918427416661,2,1
mixeddoc_00878,input,input,2005,1968,1968,80,0.8336053444086285,0.1341645885286783,0.0,0.0,0,0
mixeddoc_00878,classical_shadow_0.40,classical_shadow_0.40,2005,1968,1968,80,0.8369645585556509,0.1341645885286783,0.0182926829268292,0.0033592141470223,0,0
mixeddoc_00878,docres_deshadow,docres_deshadow,2005,1968,1926,78,0.8559103617239239,0.1017456359102244,0.086890243902439,0.0223050173152953,-42,-2
mixeddoc_00878,no_qwen_selected,docres_input_blend_0.90,2005,1968,1952,79,0.8539179183328348,0.0962593516209476,0.0736788617886178,0.0203125739242062,-16,-1
mixeddoc_00878,qwen_selected,docres_deshadow,2005,1968,1926,78,0.8559103617239239,0.1017456359102244,0.086890243902439,0.0223050173152953,-42,-2
mixeddoc_01069,input,input,598,349,349,47,0.7431651529894655,0.7391304347826086,0.0,0.0,0,0
mixeddoc_01069,classical_shadow_0.40,classical_shadow_0.40,598,349,345,46,0.7457731323017882,0.7391304347826086,0.0114613180515759,0.0026079793123227,-4,-1
mixeddoc_01069,docres_deshadow,docres_deshadow,598,349,398,46,0.7698719439977053,0.745819397993311,0.2537688442211055,0.0267067910082398,49,-1
mixeddoc_01069,no_qwen_selected,docres_deshadow,598,349,398,46,0.7698719439977053,0.745819397993311,0.2537688442211055,0.0267067910082398,49,-1
mixeddoc_01069,qwen_selected,region_controller,598,349,392,45,0.7669382150513125,0.717391304347826,0.2142857142857142,0.023773062061847,43,-2
mixeddoc_01170,input,input,621,375,375,67,0.6972724833169653,0.6489533011272142,0.0,0.0,0,0
mixeddoc_01170,classical_shadow_0.40,classical_shadow_0.40,621,375,370,66,0.7093123718151035,0.6360708534621579,0.0773333333333333,0.0120398884981381,-5,-1
mixeddoc_01170,docres_deshadow,docres_deshadow,621,375,377,59,0.6989474453467482,0.6409017713365539,0.416445623342175,0.0016749620297829,2,-8
mixeddoc_01170,no_qwen_selected,docres_input_blend_0.90,621,375,399,58,0.7138561396683967,0.6038647342995169,0.4310776942355889,0.0165836563514313,24,-9
mixeddoc_01170,qwen_selected,docres_deshadow,621,375,377,59,0.6989474453467482,0.6409017713365539,0.416445623342175,0.0016749620297829,2,-8
mixeddoc_01525,input,input,437,317,317,49,0.7555230007608307,0.7139588100686499,0.0,0.0,0,0
mixeddoc_01525,classical_shadow_0.40,classical_shadow_0.40,437,317,317,49,0.7555230007608307,0.7139588100686499,0.0,0.0,0,0
